ttr_score,hapax_ratio,zipf_alpha,lora_r,learning_rate,dropout,val_loss
0.242,0.577,1.339,8,9.4e-05,0.031,2.154
0.288,0.304,1.019,8,5.8e-05,0.069,3.0725
0.478,0.332,1.639,4,0.000831,0.134,1.4791
0.37,0.59,1.987,8,8.4e-05,0.118,0.7778
0.139,0.234,1.707,8,0.000469,0.09,1.0427
0.109,0.171,1.084,32,0.000731,0.266,1.8769
0.151,0.401,1.402,64,2.3e-05,0.026,4.0
0.305,0.488,1.109,8,4.9e-05,0.043,3.5455
0.567,0.46,1.912,32,0.000702,0.13,1.5189
0.419,0.528,1.33,64,0.000129,0.039,1.789
0.501,0.134,1.733,8,4.4e-05,0.047,1.0044
0.333,0.357,1.085,4,0.00011,0.29,1.6933
0.281,0.243,1.128,4,0.00029,0.148,1.6851
0.154,0.555,1.679,4,0.000172,0.031,1.5964
0.538,0.624,1.843,16,0.000737,0.016,1.9088
0.492,0.269,1.201,4,0.000843,0.22,1.7241
0.184,0.157,1.418,8,0.000265,0.115,1.0343
0.356,0.252,1.619,8,0.000213,0.085,1.4887
0.344,0.162,1.796,4,1.1e-05,0.206,4.0
0.413,0.293,1.628,4,0.000369,0.21,1.9025
0.573,0.423,1.095,32,0.0001,0.108,2.0138
0.39,0.684,1.543,64,0.000561,0.285,1.7953
0.37,0.34,1.885,4,0.000735,0.12,1.3285
0.125,0.232,1.868,32,5.5e-05,0.114,4.0
0.131,0.2,1.585,8,0.000647,0.233,1.5116
0.194,0.204,1.996,4,0.000209,0.245,0.7787
0.116,0.216,1.105,32,7.2e-05,0.086,4.0
0.472,0.557,1.479,32,1.3e-05,0.207,4.0
0.462,0.137,1.775,64,0.000305,0.192,1.931
0.168,0.698,1.141,8,0.000612,0.01,2.5325
0.518,0.414,1.973,64,0.000146,0.059,2.4392
0.177,0.427,1.354,64,6.4e-05,0.03,4.0
0.251,0.315,1.35,64,8e-05,0.266,2.185
0.224,0.514,1.213,8,0.000261,0.287,1.2104
0.286,0.383,1.288,4,2.5e-05,0.247,4.0
0.227,0.297,1.578,64,2.6e-05,0.093,4.0
0.344,0.259,1.429,16,4.9e-05,0.258,2.4641
0.304,0.655,1.193,8,1.1e-05,0.017,4.0
0.593,0.275,1.809,32,0.000218,0.206,1.687
0.128,0.362,1.062,32,7.9e-05,0.037,4.0
0.171,0.31,1.835,8,0.000613,0.004,1.4459
0.126,0.152,1.275,32,0.000197,0.053,0.9597
0.413,0.212,1.496,8,0.000257,0.289,2.3328
0.127,0.214,1.381,4,0.000221,0.226,1.2174
0.518,0.516,1.571,8,6.9e-05,0.155,1.3972
0.356,0.344,1.796,4,0.000734,0.281,1.6948
0.364,0.569,1.989,8,0.000674,0.125,1.4001
0.381,0.525,1.306,64,9.2e-05,0.012,1.6495
0.185,0.215,1.554,16,0.000362,0.178,1.128
0.199,0.438,1.466,4,0.000934,0.249,1.7777
0.259,0.546,1.999,16,4.6e-05,0.086,4.0
0.397,0.48,1.809,32,0.000178,0.095,1.4042
0.205,0.46,1.397,4,0.000138,0.201,1.2093
0.158,0.544,1.477,32,0.000121,0.241,1.5812
0.585,0.134,1.246,64,0.000735,0.13,1.7718
0.111,0.539,1.755,64,1.8e-05,0.027,4.0
0.501,0.264,1.845,4,0.000108,0.224,1.5005
0.494,0.443,1.965,4,1.1e-05,0.128,4.0
0.249,0.245,1.566,16,4.1e-05,0.273,4.0
0.168,0.603,1.671,32,0.000224,0.076,0.9188
0.173,0.388,1.446,16,0.000364,0.139,1.115
0.449,0.486,1.609,4,0.000511,0.212,1.7119
0.421,0.576,1.349,16,1.4e-05,0.074,4.0
0.491,0.637,1.738,4,2.3e-05,0.068,3.0618
0.569,0.539,1.023,8,6.4e-05,0.219,1.8415
0.446,0.189,1.028,32,5.8e-05,0.054,1.3435
0.178,0.613,1.716,64,3.2e-05,0.036,4.0
0.222,0.471,1.931,64,0.000747,0.078,1.988
0.521,0.466,1.632,16,0.000117,0.246,1.4795
0.205,0.653,1.727,64,0.000206,0.259,0.8939
0.136,0.249,1.824,8,0.000316,0.031,0.7587
0.452,0.244,1.362,8,0.000122,0.033,1.7093
0.301,0.408,1.108,16,0.000465,0.251,1.9361
0.56,0.551,1.933,64,0.000933,0.284,2.3034
0.425,0.368,1.939,64,6.1e-05,0.144,1.341
0.145,0.48,1.442,4,0.000194,0.255,1.152
0.574,0.372,1.217,16,4.3e-05,0.267,1.5639
0.229,0.466,1.892,4,1.4e-05,0.108,4.0
0.269,0.593,1.708,8,1.1e-05,0.151,4.0
0.301,0.208,1.008,16,2.9e-05,0.171,4.0
0.126,0.517,1.108,4,2.1e-05,0.232,4.0
0.348,0.572,1.983,8,0.000278,0.138,1.275
0.162,0.368,1.038,64,8.4e-05,0.152,3.4649
0.3,0.294,1.283,16,0.00012,0.022,1.2839
0.275,0.108,1.548,4,1.5e-05,0.016,4.0
0.486,0.578,1.184,32,1.1e-05,0.222,4.0
0.502,0.297,1.232,64,7.4e-05,0.145,1.2315
0.177,0.314,1.353,4,3.2e-05,0.027,4.0
0.283,0.302,1.27,4,0.000175,0.072,1.1639
0.287,0.399,1.803,16,0.000106,0.203,0.6603
0.176,0.521,1.5,32,0.000454,0.151,1.0135
0.499,0.563,1.279,64,0.000475,0.238,1.5762
0.454,0.336,1.313,64,0.000119,0.118,1.437
0.195,0.498,1.04,16,0.000651,0.035,2.0902
0.283,0.532,1.049,16,0.000734,0.08,2.0713
0.153,0.278,1.718,16,3.1e-05,0.033,4.0
0.414,0.158,1.113,32,0.000902,0.144,1.5586
0.161,0.637,1.476,16,0.000937,0.142,1.7208
0.593,0.506,1.842,32,1.3e-05,0.022,3.556
0.49,0.489,1.368,32,1e-05,0.057,4.0
0.295,0.135,1.346,8,1.3e-05,0.291,4.0
0.389,0.591,1.873,16,5e-05,0.295,1.2202
0.556,0.44,1.865,16,0.000413,0.103,1.258
0.377,0.609,1.88,64,0.000102,0.043,1.6197
0.187,0.685,1.572,16,3.9e-05,0.057,4.0
0.289,0.674,1.952,32,1.3e-05,0.024,4.0
0.522,0.614,1.819,16,6.2e-05,0.026,1.4837
0.422,0.107,1.416,4,1.2e-05,0.058,4.0
0.425,0.631,1.63,64,2.2e-05,0.141,4.0
0.533,0.145,1.122,4,0.000572,0.214,2.0011
0.547,0.611,1.551,32,0.000334,0.047,1.9054
0.56,0.268,1.263,4,0.00098,0.125,2.1516
0.147,0.466,1.284,32,0.000615,0.026,1.6515
0.372,0.123,1.126,64,0.000515,0.186,1.6862
0.47,0.563,1.358,8,2.2e-05,0.129,3.6412
0.478,0.167,1.481,4,0.000198,0.24,2.179
0.403,0.346,1.6,64,0.000159,0.265,1.7213
0.183,0.59,1.305,8,0.000685,0.073,1.9984
0.499,0.517,1.792,32,0.000365,0.12,1.587
0.46,0.104,1.521,32,0.000354,0.149,1.5366
0.143,0.342,1.638,8,4.5e-05,0.299,4.0
0.332,0.125,1.278,64,1.8e-05,0.275,4.0
0.187,0.504,1.814,8,5.5e-05,0.291,4.0
0.269,0.681,1.624,4,2.6e-05,0.139,4.0
0.109,0.493,1.862,8,0.000285,0.3,0.7083
0.3,0.235,1.16,16,8.3e-05,0.01,1.604
0.375,0.313,1.381,4,2.9e-05,0.29,4.0
0.41,0.686,1.113,64,0.000207,0.058,2.0723
0.432,0.234,1.216,4,1.4e-05,0.294,4.0
0.518,0.437,1.395,32,0.000685,0.136,1.3385
0.208,0.34,1.895,32,0.000143,0.174,0.8932
0.16,0.561,1.557,32,8.4e-05,0.272,3.4323
0.526,0.62,1.33,4,3.1e-05,0.295,1.4561
0.178,0.305,1.747,32,0.000125,0.051,1.352
0.587,0.496,1.02,64,3.8e-05,0.183,1.0558
0.521,0.429,1.37,64,6.2e-05,0.208,1.3122
0.35,0.267,1.601,4,0.000599,0.212,1.8837
0.591,0.263,1.583,8,2.4e-05,0.063,1.4452
0.149,0.423,1.608,8,5e-05,0.021,4.0
0.252,0.192,1.212,64,0.000205,0.113,0.9436
0.419,0.586,1.337,4,0.000282,0.243,1.9194
0.275,0.141,1.932,64,1.7e-05,0.291,4.0
0.564,0.157,1.974,32,0.000746,0.133,1.6596
0.133,0.305,1.312,32,1.1e-05,0.274,4.0
0.375,0.171,1.645,64,1.4e-05,0.217,4.0
0.395,0.385,1.241,32,0.000334,0.035,2.0236
0.426,0.34,1.369,16,0.000349,0.104,1.8739
0.228,0.533,1.792,16,0.000215,0.223,0.5905
0.282,0.672,1.501,16,0.00011,0.134,1.2124
0.522,0.552,1.85,8,3.8e-05,0.197,0.8976
0.197,0.208,1.629,8,0.000479,0.228,1.5323
0.513,0.661,1.629,4,0.00025,0.294,1.9592
0.381,0.335,1.034,8,0.000863,0.275,2.0404
0.481,0.385,1.75,64,8.1e-05,0.103,1.3632
0.457,0.353,1.978,4,8.7e-05,0.241,1.0116
0.204,0.268,1.473,4,0.000383,0.112,1.3783
0.384,0.637,1.159,64,0.000968,0.194,1.3461
0.534,0.299,1.977,16,0.000621,0.018,1.342
0.316,0.447,1.29,8,3.9e-05,0.235,4.0
0.583,0.244,1.409,4,0.000808,0.297,2.4837
0.326,0.578,1.077,16,2.5e-05,0.162,4.0
0.171,0.565,1.111,32,7e-05,0.28,4.0
0.295,0.278,1.217,16,0.000594,0.262,2.1403
0.576,0.509,1.548,16,4.2e-05,0.003,1.733
0.26,0.522,1.558,8,5.1e-05,0.027,4.0
0.534,0.438,1.606,32,0.000976,0.131,1.5571
0.541,0.46,1.584,4,8e-05,0.079,1.7446
0.275,0.445,1.495,64,0.000785,0.121,1.8501
0.142,0.149,1.802,4,3.5e-05,0.153,4.0
0.462,0.502,1.934,8,0.0001,0.143,0.9525
0.256,0.382,1.27,4,5.8e-05,0.049,3.5978
0.491,0.363,1.13,8,0.000134,0.045,2.01
0.321,0.616,1.425,8,0.000626,0.124,1.9951
0.343,0.114,1.026,4,0.000959,0.207,2.606
0.489,0.251,1.883,64,0.0001,0.177,1.5361
0.291,0.173,1.24,64,2.2e-05,0.026,4.0
0.322,0.121,1.549,4,1.3e-05,0.085,4.0
0.288,0.265,1.115,32,2.1e-05,0.124,4.0
0.284,0.693,1.553,16,0.000311,0.1,1.7245
0.363,0.262,1.039,64,0.000154,0.134,1.0935
0.504,0.498,1.769,8,0.000314,0.132,1.6596
0.281,0.171,1.955,64,0.000809,0.25,2.2909
0.362,0.461,1.307,32,0.000259,0.25,1.5656
0.435,0.691,1.258,4,0.000359,0.282,1.9073
0.235,0.275,1.448,32,7.1e-05,0.157,2.4363
0.239,0.609,1.62,16,0.000105,0.083,1.4715
0.567,0.699,1.189,64,0.000443,0.208,1.4768
0.462,0.453,1.803,8,0.00019,0.229,1.577
0.389,0.286,1.199,8,0.000118,0.105,1.2505
0.424,0.504,1.005,32,2.8e-05,0.247,3.4205
0.115,0.607,1.524,4,0.000161,0.208,1.6851
0.409,0.203,1.115,16,3.8e-05,0.291,2.7604
0.355,0.372,1.698,4,0.000152,0.104,1.2018
0.373,0.292,1.167,64,8.5e-05,0.277,1.2213
0.28,0.27,1.817,32,1.6e-05,0.104,4.0
0.141,0.616,1.47,32,0.000518,0.26,0.9718
0.197,0.353,1.566,8,0.000145,0.098,1.082
0.575,0.303,1.187,64,0.00064,0.273,1.7673
0.304,0.462,1.147,8,0.000714,0.005,2.309
0.333,0.232,1.631,4,0.000108,0.122,1.0178
0.126,0.238,1.255,32,0.000227,0.015,0.9828
0.119,0.412,1.386,32,0.000618,0.122,1.0316
0.459,0.346,1.479,16,0.000229,0.127,1.8229
0.369,0.277,1.23,4,3.1e-05,0.272,4.0
0.354,0.132,1.795,64,3.3e-05,0.24,4.0
0.222,0.412,1.939,16,6.9e-05,0.08,2.9539
0.472,0.59,1.432,32,1.2e-05,0.251,4.0
0.184,0.611,1.918,64,5.5e-05,0.054,4.0
0.195,0.241,1.883,8,1.9e-05,0.208,4.0
0.33,0.46,1.166,4,0.000451,0.083,2.0541
0.243,0.614,1.173,8,0.000367,0.29,1.6098
0.224,0.345,1.477,32,2.2e-05,0.28,4.0
0.423,0.659,1.526,16,3.7e-05,0.091,2.3407
0.425,0.642,1.341,8,0.000138,0.009,2.3221
0.512,0.225,1.313,32,3.2e-05,0.194,1.3023
0.309,0.255,1.431,8,1.3e-05,0.049,4.0
0.137,0.208,1.69,4,0.000339,0.035,1.0013
0.237,0.218,1.084,8,1.5e-05,0.272,4.0
0.59,0.645,1.711,4,0.000227,0.169,1.8461
0.398,0.659,1.926,4,2e-05,0.28,4.0
0.455,0.131,1.764,64,1e-05,0.079,4.0
0.104,0.456,1.192,16,0.000133,0.1,2.739
0.359,0.439,1.087,8,3.7e-05,0.281,3.6542
0.119,0.334,1.49,32,1.8e-05,0.134,4.0
0.385,0.479,1.956,64,0.000234,0.07,2.2445
0.56,0.668,1.819,16,0.000194,0.125,1.8211
0.584,0.202,1.563,64,6.6e-05,0.105,1.6348
0.37,0.172,1.143,8,1.5e-05,0.236,4.0
0.329,0.12,1.714,8,8.5e-05,0.123,0.9799
0.573,0.318,1.813,8,1.6e-05,0.023,2.6447
0.437,0.303,1.935,16,0.000974,0.182,1.0521
0.132,0.358,1.612,64,2.9e-05,0.267,4.0
0.333,0.402,1.514,32,1e-05,0.274,4.0
0.22,0.555,1.619,64,2.8e-05,0.145,4.0
0.335,0.335,1.943,16,0.000173,0.004,1.0821
0.328,0.298,1.628,4,0.000897,0.18,1.6383
0.391,0.596,1.258,4,0.000112,0.14,1.3948
0.278,0.61,1.636,4,7.8e-05,0.282,1.6591
0.182,0.24,1.88,32,0.000965,0.266,1.7991
0.352,0.289,1.567,16,2.1e-05,0.27,4.0
0.515,0.595,1.503,16,2.5e-05,0.235,1.9693
0.432,0.148,1.733,4,5.8e-05,0.075,1.0439
0.269,0.296,1.661,16,0.000313,0.173,1.1174
0.568,0.369,1.057,16,4e-05,0.254,1.4287
0.556,0.212,1.725,8,8.7e-05,0.236,1.7455
0.205,0.208,1.408,32,0.000756,0.247,1.6236
0.12,0.355,1.941,16,0.000557,0.143,0.7914
0.471,0.553,1.971,4,0.000784,0.08,1.3931
0.514,0.604,1.449,64,2.2e-05,0.019,3.184
0.584,0.688,1.969,64,9.2e-05,0.084,2.6095
0.545,0.144,1.311,32,0.000267,0.006,1.8173
0.4,0.23,1.683,16,0.000292,0.098,1.5087
0.365,0.554,1.075,8,0.000126,0.286,1.3792
0.114,0.424,1.145,16,0.000438,0.08,1.2543
0.223,0.297,1.865,4,1.2e-05,0.279,4.0
0.33,0.223,1.894,16,2.5e-05,0.292,4.0
0.414,0.268,1.533,64,4.5e-05,0.031,1.8283
0.379,0.358,1.34,64,0.000287,0.244,1.8741
0.471,0.206,1.451,32,0.000636,0.285,1.7246
0.24,0.679,1.87,4,0.000114,0.063,1.4764
0.382,0.165,1.211,32,0.000261,0.116,1.6468
0.144,0.691,1.295,16,0.000154,0.251,1.5084
0.307,0.605,1.785,8,0.000706,0.042,1.9687
0.475,0.354,1.935,32,0.000631,0.168,1.3875
0.447,0.544,1.093,64,0.000413,0.072,1.8794
0.595,0.503,1.804,4,3.6e-05,0.23,1.0371
0.239,0.228,1.645,16,5.6e-05,0.186,3.9618
0.349,0.303,1.231,4,6.8e-05,0.185,1.4206
0.265,0.408,1.756,4,1e-05,0.275,4.0
0.32,0.483,1.728,4,2.9e-05,0.202,4.0
0.528,0.426,1.142,64,0.000268,0.044,1.9469
0.442,0.384,1.502,8,0.000123,0.052,1.6904
0.541,0.366,1.758,32,0.000823,0.082,1.4548
0.202,0.399,1.192,64,1.1e-05,0.011,4.0
0.537,0.361,1.463,8,5.7e-05,0.11,1.3977
0.13,0.425,1.121,16,0.00026,0.115,1.0351
0.544,0.633,1.307,32,1.9e-05,0.213,2.3654
0.265,0.48,1.218,8,0.0001,0.098,1.3423
0.257,0.534,1.505,16,1.1e-05,0.257,4.0
0.356,0.458,1.141,32,2.3e-05,0.115,4.0
0.57,0.486,1.383,16,0.000752,0.3,1.9534
0.124,0.447,1.275,64,0.000158,0.143,1.5452
0.276,0.116,1.746,16,0.00033,0.266,1.6127
0.528,0.7,1.7,4,1.6e-05,0.066,4.0
0.298,0.12,1.095,64,2.9e-05,0.001,4.0
0.2,0.337,1.953,16,2.4e-05,0.154,4.0
0.312,0.163,1.745,64,3.5e-05,0.154,4.0
0.293,0.158,1.616,32,3.3e-05,0.286,4.0
0.558,0.576,1.478,4,0.000134,0.059,2.3801
0.481,0.356,1.178,4,0.000258,0.059,2.1709
0.353,0.581,1.962,16,0.000125,0.126,0.8548
0.594,0.264,1.008,32,4e-05,0.155,1.4409
0.333,0.254,1.692,64,0.000245,0.193,1.5607
0.129,0.251,1.507,16,0.000127,0.088,2.1403
0.231,0.47,1.903,8,0.000189,0.079,0.7152
0.318,0.589,1.381,16,2.6e-05,0.252,4.0
0.178,0.371,1.519,8,0.00083,0.149,1.7091
0.574,0.328,1.742,4,4.5e-05,0.279,1.4373
0.483,0.684,1.048,16,5.5e-05,0.205,1.2608
0.234,0.17,1.054,16,0.000121,0.019,1.3745
0.395,0.392,1.212,4,1.3e-05,0.032,4.0
0.461,0.345,1.146,64,2.4e-05,0.261,3.2188
0.571,0.159,1.006,16,0.000422,0.063,1.706
0.541,0.261,1.623,32,0.000387,0.05,1.3826
0.358,0.117,1.796,4,1.9e-05,0.266,4.0
0.487,0.626,1.957,64,0.000151,0.286,2.0849
0.381,0.465,1.441,4,1.4e-05,0.196,4.0
0.376,0.589,1.28,4,1.4e-05,0.03,4.0
0.157,0.413,1.864,64,0.000397,0.007,1.5453
0.163,0.46,1.844,64,8.7e-05,0.18,3.4143
0.365,0.521,1.625,64,0.000713,0.018,2.1953
0.234,0.645,1.273,32,9e-05,0.164,1.7775
0.111,0.155,1.909,8,0.000411,0.121,0.5405
0.461,0.299,1.178,4,0.000189,0.01,2.1226
0.116,0.525,1.044,16,7.3e-05,0.286,4.0
0.398,0.675,1.797,8,0.000129,0.003,1.9544
0.37,0.688,1.564,16,0.000739,0.106,1.8233
0.584,0.483,1.246,16,1.4e-05,0.242,3.3044
0.342,0.216,1.671,16,0.000115,0.292,1.1868
0.132,0.172,1.767,32,1.3e-05,0.014,4.0
0.376,0.668,1.845,32,0.000129,0.285,0.9986
0.521,0.36,1.282,8,0.000164,0.101,1.9982
0.598,0.217,1.026,64,0.000412,0.048,1.462
0.315,0.66,1.51,32,0.000395,0.247,1.3896
0.26,0.163,1.856,4,1e-05,0.193,4.0
0.553,0.538,1.208,8,1.4e-05,0.03,4.0
0.196,0.475,1.421,4,0.000234,0.186,0.9873
0.408,0.153,1.256,16,2.3e-05,0.245,4.0
0.303,0.303,1.013,4,0.000114,0.165,2.0072
0.121,0.19,1.899,32,2.9e-05,0.103,4.0
0.274,0.463,1.135,4,0.000467,0.064,2.143
0.233,0.386,1.767,16,0.00023,0.225,0.7349
0.443,0.103,1.347,16,7.4e-05,0.12,1.2177
0.574,0.685,1.278,32,2.8e-05,0.25,1.1804
0.234,0.31,1.941,8,0.000208,0.229,0.693
0.506,0.255,1.657,64,5e-05,0.226,1.3634
0.128,0.233,1.687,8,0.000151,0.238,1.7586
0.369,0.195,1.76,64,0.000217,0.167,1.5647
0.135,0.699,1.341,32,1.9e-05,0.234,4.0
0.567,0.277,1.564,32,1.3e-05,0.264,3.9631
0.483,0.343,1.27,32,9.7e-05,0.09,1.3346
0.429,0.623,1.835,16,2.1e-05,0.076,4.0
0.512,0.485,1.599,8,1.5e-05,0.138,4.0
0.424,0.321,1.243,64,1.5e-05,0.166,4.0
0.584,0.639,1.9,8,0.000254,0.008,2.2203
0.457,0.55,1.581,64,0.000646,0.055,1.9873
0.562,0.237,1.495,4,0.000731,0.007,1.9264
0.359,0.486,1.034,8,0.000744,0.169,1.9845
0.159,0.653,1.91,4,0.00022,0.231,0.6348
0.364,0.398,1.952,32,0.000711,0.248,1.5587
0.163,0.54,1.563,16,1.8e-05,0.168,4.0
0.396,0.683,1.443,16,0.00016,0.012,2.2923
0.341,0.514,1.36,8,0.000331,0.177,1.8056
0.411,0.161,1.268,4,0.000769,0.12,1.6024
0.105,0.247,1.575,4,4.5e-05,0.255,4.0
0.197,0.457,1.128,64,0.000148,0.122,0.9328
0.346,0.265,1.919,8,6.4e-05,0.215,1.1022
0.575,0.675,1.176,8,0.000119,0.058,2.5846
0.292,0.343,1.746,4,0.000102,0.277,1.1511
0.312,0.374,1.307,4,0.0005,0.089,1.8017
0.457,0.521,1.226,16,0.000445,0.002,2.4315
0.402,0.415,1.558,8,6.2e-05,0.024,1.5199
0.249,0.329,1.765,16,3.6e-05,0.069,4.0
0.305,0.146,1.727,32,0.000503,0.05,1.4303
0.209,0.458,1.234,32,0.000812,0.057,1.8424
0.583,0.621,1.331,4,1.1e-05,0.174,4.0
0.165,0.511,1.869,64,0.0001,0.142,2.6376
0.286,0.329,1.723,4,0.000349,0.214,1.5209
0.113,0.177,1.713,8,0.000937,0.237,1.5807
0.211,0.59,1.269,4,0.000115,0.155,1.5895
0.49,0.665,1.792,16,0.000274,0.178,1.5736
0.201,0.333,1.358,4,0.000736,0.233,1.7989
0.14,0.537,1.401,16,5.6e-05,0.027,4.0
0.337,0.346,1.288,32,0.000588,0.13,1.607
0.105,0.401,1.121,16,3.4e-05,0.159,4.0
0.142,0.602,1.42,8,0.000282,0.179,1.0026
0.504,0.15,1.017,4,0.000816,0.163,2.5565
0.486,0.418,1.456,8,0.000198,0.105,1.9761
0.558,0.229,1.725,16,5.7e-05,0.086,0.9687
0.527,0.304,1.961,16,1.4e-05,0.132,4.0
0.442,0.487,1.079,16,2.5e-05,0.02,4.0
0.126,0.116,1.281,16,0.000287,0.141,1.0149
0.491,0.456,1.494,16,0.000954,0.29,1.729
0.523,0.27,1.17,4,0.000501,0.016,1.898
0.5,0.502,1.117,64,0.000383,0.046,1.9093
0.354,0.185,1.452,8,1.1e-05,0.189,4.0
0.216,0.541,1.581,32,0.000293,0.212,0.767
0.523,0.487,1.82,32,0.000452,0.143,1.3951
0.464,0.683,1.998,8,4.5e-05,0.275,0.8436
0.59,0.647,1.774,4,0.000999,0.145,2.6066
0.178,0.27,1.221,8,1.2e-05,0.033,4.0
0.213,0.116,1.748,16,6.1e-05,0.144,4.0
0.206,0.493,1.537,64,2.7e-05,0.154,4.0
0.496,0.462,1.451,8,0.000881,0.129,1.6887
0.193,0.116,1.936,4,0.000221,0.274,1.0411
0.133,0.174,1.702,16,6.8e-05,0.144,4.0
0.599,0.451,1.682,8,0.000881,0.208,2.2655
0.112,0.647,1.012,8,1.3e-05,0.153,4.0
0.518,0.644,1.865,16,2.7e-05,0.218,1.2842
0.283,0.191,1.793,4,7e-05,0.033,1.7933
0.521,0.331,1.299,64,1.8e-05,0.283,3.5256
0.377,0.126,1.292,64,0.000986,0.184,1.6131
0.551,0.382,1.053,16,0.00014,0.092,2.0603
0.563,0.552,1.051,32,2.1e-05,0.07,2.259
0.105,0.574,1.669,4,3.1e-05,0.221,4.0
0.138,0.399,1.186,32,6.2e-05,0.08,4.0
0.225,0.158,1.924,32,0.000284,0.135,0.9427
0.435,0.329,1.842,32,4.1e-05,0.185,1.3551
0.544,0.659,1.349,4,3.9e-05,0.257,1.2394
0.33,0.238,1.38,32,0.000179,0.249,1.2203
0.403,0.292,1.327,16,1.2e-05,0.2,4.0
0.194,0.548,1.092,8,0.000265,0.079,1.4437
0.502,0.54,1.031,16,0.000125,0.049,2.2122
0.584,0.647,1.452,8,7.4e-05,0.164,1.8781
0.234,0.333,1.943,64,6.1e-05,0.264,4.0
0.347,0.409,1.917,32,2.8e-05,0.122,4.0
0.143,0.38,1.81,64,3e-05,0.221,4.0
0.38,0.657,1.629,64,0.0001,0.25,1.1213
0.351,0.562,1.856,4,2.5e-05,0.079,4.0
0.172,0.599,1.515,32,0.000137,0.289,1.1057
0.321,0.18,1.18,64,0.000199,0.077,1.1336
0.267,0.575,1.684,8,8.2e-05,0.177,1.604
0.361,0.36,1.921,8,1.6e-05,0.2,4.0
0.393,0.114,1.02,4,0.00075,0.166,2.6053
0.104,0.136,1.251,64,0.000464,0.186,1.0965
0.481,0.507,1.265,64,0.000807,0.063,1.7635
0.457,0.323,1.099,64,5.5e-05,0.043,1.1144
0.283,0.621,1.225,4,1.2e-05,0.005,4.0
0.126,0.541,1.384,32,7.5e-05,0.183,4.0
0.477,0.113,1.94,64,8.5e-05,0.277,2.08
0.578,0.512,1.86,64,0.000259,0.204,1.7726
0.22,0.215,1.946,16,0.000295,0.195,0.7961
0.262,0.354,1.121,8,7.1e-05,0.16,2.3796
0.192,0.475,1.028,32,0.0009,0.185,1.7805
0.388,0.624,1.11,32,1.7e-05,0.217,4.0
0.177,0.374,1.914,32,0.000638,0.045,1.5789
0.278,0.585,1.157,64,0.000347,0.219,1.3702
0.449,0.57,1.573,16,0.000117,0.047,1.7174
0.38,0.349,1.228,32,0.000335,0.088,1.7821
0.293,0.401,1.021,4,0.000322,0.102,2.5057
0.31,0.52,1.085,4,2.2e-05,0.086,4.0
0.381,0.119,1.71,8,0.000116,0.157,1.0702
0.103,0.634,1.182,16,8.7e-05,0.167,4.0
0.139,0.562,1.229,32,9.7e-05,0.246,3.4507
0.541,0.25,1.377,16,2.2e-05,0.173,2.1426
0.139,0.689,1.657,4,5.9e-05,0.299,4.0
0.453,0.208,1.469,32,0.000109,0.208,1.1929
0.56,0.648,1.945,64,0.000234,0.219,2.1335
0.235,0.295,1.434,4,7e-05,0.299,3.3375
0.285,0.558,1.199,8,0.000197,0.07,1.5433
0.384,0.374,1.536,32,0.000172,0.194,1.0722
0.541,0.542,1.451,8,0.000423,0.266,1.7863
0.571,0.193,1.787,16,6.8e-05,0.29,1.6136
0.47,0.262,1.935,8,0.000556,0.134,1.202
0.143,0.16,1.836,8,1.1e-05,0.129,4.0
0.435,0.619,1.389,64,0.000633,0.028,2.2749
0.305,0.278,1.216,8,0.000799,0.271,2.0168
0.335,0.517,1.914,64,6.7e-05,0.281,1.6043
0.125,0.592,1.386,8,0.000792,0.265,1.585
0.196,0.641,1.77,64,0.000536,0.068,1.8235
0.495,0.164,1.99,4,1.3e-05,0.091,4.0
0.327,0.636,1.577,64,0.000201,0.285,1.4259
0.251,0.218,1.48,4,0.000684,0.184,1.8257
0.292,0.542,1.7,4,2.6e-05,0.19,4.0
0.527,0.537,1.194,32,0.000694,0.125,1.6537
0.474,0.105,1.488,4,2.6e-05,0.185,2.7168
0.236,0.232,1.312,32,0.000183,0.048,0.8695
0.159,0.395,1.164,64,5.8e-05,0.285,4.0
0.226,0.352,1.61,16,0.000125,0.284,1.2059
0.56,0.651,1.576,32,3.7e-05,0.257,0.8753
0.391,0.316,1.761,16,6.5e-05,0.077,0.8603
0.367,0.662,1.873,64,0.000102,0.263,1.1195
0.398,0.376,1.22,32,0.000101,0.21,1.1005
0.283,0.679,1.78,64,0.000973,0.074,2.0495
0.504,0.542,1.367,16,0.000512,0.251,1.6913
0.362,0.598,1.629,64,2e-05,0.027,4.0
0.158,0.163,1.85,16,0.000834,0.215,1.37
0.165,0.452,1.256,4,0.000137,0.299,1.6934
0.368,0.186,1.601,16,0.000166,0.129,1.1181
0.568,0.279,1.48,16,3.6e-05,0.186,1.2734
0.254,0.474,1.791,4,4e-05,0.065,4.0
0.535,0.536,1.697,32,1.9e-05,0.14,2.4282
0.482,0.124,1.77,8,0.000456,0.032,1.4756
0.224,0.419,1.288,32,9.3e-05,0.209,1.7726
0.118,0.439,1.704,8,1.6e-05,0.232,4.0
0.151,0.147,1.606,4,7.7e-05,0.177,4.0
0.464,0.4,1.457,32,4.8e-05,0.222,0.9536
0.2,0.528,1.378,64,0.00024,0.207,1.0067
0.286,0.132,1.332,64,2.4e-05,0.277,4.0
0.351,0.556,1.01,32,0.000742,0.144,1.8674
